ID1,ID2,EdgeType,Score,Annotation
50,52,MS1 annotation,2,[2M+2H]+2 [M+NH4]+ dm/z=17.02652
50,56,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98202
50,56,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98202
57,61,MS1 annotation,2,[M+H]+ [M-H2O+NH4]+ dm/z=0.98398
74,82,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97392
190,252,MS1 annotation,3,[2M+2H]+2 [M+Na]+ dm/z=21.98194
190,250,MS1 annotation,3,[M+NH4]+ [M+Na]+ dm/z=4.95534
250,252,MS1 annotation,3,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
255,257,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98209
279,281,MS1 annotation,2,[2M+2H]+2 [M+NH4]+ dm/z=17.02648
331,335,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02664
331,335,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.02664
335,366,MS1 annotation,2,[2M+2H]+2 [M-H2O+NH4]+ dm/z=0.98402
341,352,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02657
341,352,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.02657
385,391,MS1 annotation,4,[M+K]+ [M+H]+ dm/z=37.95584
385,403,MS1 annotation,4,[M+Na]+ [M+H]+ dm/z=21.9819
385,391,MS1 annotation,4,[M+K]+ [2M+2H]+2 dm/z=37.95584
385,403,MS1 annotation,4,[M+Na]+ [2M+2H]+2 dm/z=21.9819
386,390,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98199
386,390,MS1 annotation,3,[M+Na]+ [2M+2H]+2 dm/z=21.98199
390,424,MS1 annotation,3,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.99263
391,450,MS1 annotation,4,[2M-2H2O+2H]+2 [M+K]+ dm/z=55.96665
391,403,MS1 annotation,4,[M+Na]+ [M+K]+ dm/z=15.97394
403,450,MS1 annotation,4,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9927
442,444,MS1 annotation,3,[2M+2H]+2 [M+Na]+ dm/z=21.98205
442,465,MS1 annotation,3,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.99263
459,460,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98197
484,487,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98199
502,504,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98195
502,504,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98195
507,515,MS1 annotation,3,[M+Na]+ [M+NH4]+ dm/z=4.95557
507,508,MS1 annotation,3,[2M+2H]+2 [M+NH4]+ dm/z=17.02669
508,515,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98226
508,515,MS1 annotation,3,[M+Na]+ [2M+2H]+2 dm/z=21.98226
516,549,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02658
516,549,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.02658
537,644,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98189
551,644,MS1 annotation,3,[M+H]+ [2M+Na]+ dm/z=241.09287
569,583,MS1 annotation,2,[2M+2H]+2 [M+NH4]+ dm/z=17.02653
596,597,MS1 annotation,2,[2M+H]+ [M-H2O+NH4]+ dm/z=140.04773
627,632,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.9554
631,661,MS1 annotation,2,[2M+2H]+2 [M-H2O+NH4]+ dm/z=0.984
633,662,MS1 annotation,2,[2M+2H]+2 [M-H2O+NH4]+ dm/z=0.98401
649,650,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98203
698,700,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98218
704,714,MS1 annotation,3,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.99265
704,718,MS1 annotation,3,[2M+2H]+2 [M+Na]+ dm/z=21.98211
737,745,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98206
737,745,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98206
741,746,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98209
741,746,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98209
759,771,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95539
762,770,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95537
766,769,MS1 annotation,3,[M+NH4]+ [M-H2O+H]+ dm/z=35.03705
766,769,MS1 annotation,3,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.03705
767,769,MS1 annotation,3,[M+NH4]+ [M+H]+ dm/z=17.0265
767,769,MS1 annotation,3,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
768,778,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02663
768,778,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.02663
776,783,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98188
776,783,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98188
793,795,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98193
808,809,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02658
808,809,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.02658
814,826,MS1 annotation,2,[M+K]+ [2M-3H2O+H]+ dm/z=50.10981
824,826,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98191
844,852,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98218
880,883,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98195
880,883,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98195
916,925,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98196
922,926,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95547
924,927,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95538
944,945,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98197
944,945,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98197
1027,1029,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98188
1050,1127,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98212
1050,1127,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98212
1065,1073,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02667
1065,1073,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.02667
1082,1087,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98211
1082,1087,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98211
1083,1113,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98193
1083,1113,MS1 annotation,3,[M+Na]+ [2M+2H]+2 dm/z=21.98193
1086,1097,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02647
1086,1097,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.02647
1099,1205,MS1 annotation,2,[M-H+2Na]+ [2M+H]+ dm/z=87.10168
1113,1197,MS1 annotation,3,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.99272
1114,1116,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02657
1190,1199,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95537
1202,1204,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98197
1241,1243,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98199
1259,1262,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98212
1287,1359,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95543
1330,1511,MS1 annotation,3,[M-3H2O+H]+ [M+Na]+ dm/z=76.0139
1330,1512,MS1 annotation,3,[2M+2H]+2 [M+Na]+ dm/z=21.98225
1333,1425,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98199
1333,1425,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98199
1355,1560,MS1 annotation,5,[M+Na]+ [M+H]+ dm/z=21.98197
1355,1553,MS1 annotation,5,[M-H2O+NH4]+ [M+H]+ dm/z=0.98408
1355,1560,MS1 annotation,5,[M+Na]+ [2M+2H]+2 dm/z=21.98197
1355,1553,MS1 annotation,5,[M-H2O+NH4]+ [2M+2H]+2 dm/z=0.98408
1370,1374,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.982
1376,1386,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98202
1376,1386,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98202
1418,1431,MS1 annotation,4,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.03731
1420,1421,MS1 annotation,4,[M+Na]+ [M+H]+ dm/z=21.98206
1421,1431,MS1 annotation,4,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.99263
1438,1442,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98206
1438,1442,MS1 annotation,3,[M+Na]+ [2M+2H]+2 dm/z=21.98206
1442,1445,MS1 annotation,3,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.99253
1455,1687,MS1 annotation,2,[M+Na]+ [M-H2O+H]+ dm/z=39.99286
