ID,comp1,GroupContrib,importance
1073_300.2025_1.88,3.332777644377093,female_wild type control,-0.0589895248624908
1502_186.1128_2.39,3.3254919191357732,female_wild type control,-0.05886056892359424
2927_348.2754_3.75,3.283786689233515,female_wild type control,-0.058122394356093204
1424_184.0972_2.33,3.2445698501478444,female_wild type control,-0.05742826382861098
1105_360.1297_1.92,3.2329214789758263,female_wild type control,-0.057222089893779596
1249_344.2288_2.12,3.2045089402332083,female_wild type control,-0.0567191934094036
1241_338.0878_2.1,3.189680926902753,female_wild type control,-0.05645674041842954
1243_360.0698_2.1,3.1461219841528507,female_wild type control,-0.05568575548918761
1845_452.156_2.69,3.0935098478560117,female_wild type control,-0.054754530771154795
520_178.09_0.58,3.024484187314155,male_wild type control,0.05353278982316403
959_168.1135_1.5,3.0173911414816184,female_wild type control,-0.05340724427283452
1428_109.065_2.33,3.008272136673486,female_wild type control,-0.053245839637347345
1697_240.1599_2.53,3.0024299738459366,female_wild type control,-0.05314243447620559
2801_533.3268_3.59,2.9908645877032995,female_wild type control,-0.052937729360472335
1713_316.2125_2.52,2.9687089114659546,female_wild type control,-0.05254557814196751
1208_435.1294_2.04,2.962875767901301,female_wild type control,-0.05244233262004853
2739_406.2444_3.52,2.9535091187805107,female_wild type control,-0.052276544727741556
468_128.0708_0.51,2.95349167403422,female_wild type control,-0.05227623595907924
1136_350.0854_1.97,2.9488234431661895,female_wild type control,-0.052193609168384655
1437_279.1346_2.34,2.9475564901564972,female_wild type control,-0.05217118434319689
608_270.1818_0.69,2.9412333731189246,female_wild type control,-0.05205926638481595
1065_283.1758_1.87,2.939109537026846,female_wild type control,-0.052021674893475714
2257_298.2019_3.08,2.9382610813682764,female_wild type control,-0.05200665739110787
982_174.1129_1.66,2.9209980832965883,female_wild type control,-0.05170110563740206
1470_182.1292_2.36,2.906147474552714,female_wild type control,-0.05143825271194574
3255_390.2494_4.16,2.8965819740688254,female_wild type control,-0.05126894518866453
1715_226.1443_2.51,2.893470114041568,female_wild type control,-0.05121386586323872
1809_208.0973_2.65,2.885415040692132,female_wild type control,-0.051071292610439384
