ID,comp1,GroupContrib,importance
1474_227.0899_2.36,2.118105761475126,wild type control_9,-0.03749006558800138
1706_197.0788_2.54,2.110963721664878,wild type control_9,-0.0373636528536666
1705_219.0611_2.54,2.092974429994332,wild type control_9,-0.03704524584261123
1144_205.0452_1.99,2.0889135020906044,wild type control_9,-0.036973368197864696
2198_488.344_3.02,2.0848419046312756,wild type control_9,-0.036901301704031136
4100_704.4993_5.25,2.082045926965897,wild type control_9,-0.036851813435803855
1775_342.2496_2.62,2.080098276913046,wild type control_9,-0.036817340403554034
1484_205.1076_2.37,2.0784557550130325,wild type control_9,-0.03678826808106607
573_176.0921_0.66,2.077088790862903,wild type control_9,-0.03676407307788118
919_173.0813_1.47,2.0759774181655,wild type control_9,-0.03674440199437054
2099_189.1125_2.93,2.074812505441047,wild type control_9,-0.03672378326265357
1265_187.0969_2.17,2.0715425831997885,wild type control_9,-0.03666590626636653
900_155.0706_1.37,2.0678135397594395,wild type control_9,-0.03659990291294483
926_190.1077_1.52,2.067562042788085,wild type control_9,-0.03659545146480529
2094_211.0946_2.93,2.0667297666485895,wild type control_9,-0.036580720336820784
1682_372.2602_2.52,2.0660019939846386,wild type control_9,-0.036567838900302865
1344_267.1809_2.25,2.0648675671071413,wild type control_9,-0.036547759762227836
1828_201.1125_2.68,2.0648121870735796,wild type control_9,-0.03654677954625928
1142_203.0918_1.97,2.0647866948483995,wild type control_9,-0.03654632833876465
1839_241.1053_2.7,2.0599314970304485,wild type control_9,-0.036460392268928866
1745_386.2395_2.58,2.0591029572915063,wild type control_9,-0.03644572727451727
1612_342.2132_2.46,2.057700442206997,wild type control_9,-0.03642090302661485
2098_206.1392_2.93,2.0555676987237184,wild type control_9,-0.03638315387615939
918_218.1393_1.47,2.055333578826001,wild type control_9,-0.03637900999888918
1157_185.0812_2.0,2.0538213042234847,wild type control_9,-0.03635224302857702
922_195.0632_1.47,2.0528050906815043,wild type control_9,-0.03633425624385966
1141_220.1186_1.97,2.051216197645572,wild type control_9,-0.036306133141976435
2100_171.102_2.85,2.0509691948401723,wild type control_9,-0.03630176123971202
1139_139.0756_1.97,2.050462044586664,wild type control_9,-0.036292784777529244
1114_253.1652_1.95,2.0501310623415656,wild type control_9,-0.036286926455294875
920_137.06_1.47,2.0450730429350177,wild type control_9,-0.03619740048225526
2379_422.2866_3.19,2.0432703328892123,wild type control_9,-0.03616549286032126
1519_328.2338_2.4,2.0428582037117047,wild type control_9,-0.03615819825295249
1422_232.155_2.35,2.0420099558584215,wild type control_9,-0.03614318442869834
1250_205.1076_2.12,2.040377706032033,wild type control_9,-0.03611429391994268
1420_187.0969_2.33,2.0398272229159007,wild type control_9,-0.03610455047440552
1772_416.2864_2.61,2.038048171729519,wild type control_9,-0.03607306160974401
1266_123.0807_2.22,2.0376397501983305,wild type control_9,-0.03606583262700372
1644_416.2501_2.49,2.0376176883806107,wild type control_9,-0.03606544213706297
1695_446.297_2.53,2.0368003556546403,wild type control_9,-0.03605097550463074
1556_141.0913_2.42,2.036686828843312,wild type control_9,-0.036048966101852035
1418_204.1236_2.25,2.0360998901469114,wild type control_9,-0.03603857739953867
1933_430.3021_2.78,2.035648624651811,wild type control_9,-0.03603059008685739
1487_372.2238_2.37,2.0342063255614407,wild type control_9,-0.036005061669684375
1295_314.2181_2.19,2.034029368746812,wild type control_9,-0.036001929568017246
1559_159.102_2.43,2.0328551515252884,wild type control_9,-0.035981146148487325
818_209.1388_1.15,2.032349089999642,wild type control_9,-0.03597218895657882
1047_187.0969_1.83,2.028811785712907,wild type control_9,-0.035909579349388064
1172_223.1546_2.01,2.027594584827488,wild type control_9,-0.035888035127254254
1831_236.1498_2.64,2.024356649927539,wild type control_9,-0.03583072430077115
3490_345.2281_4.48,2.0239199135337484,wild type control_9,-0.035822994150395436
1575_402.2708_2.44,2.0218216633852277,wild type control_9,-0.03578585552534713
651_139.0756_0.8,2.0191548399510846,wild type control_9,-0.03573865326223256
1268_151.0757_2.15,2.01887415026719,wild type control_9,-0.03573368510868212
4641_281.2677_6.07,2.018525527102921,Ctns gene knockout_9,0.035727514545563104
