ID,comp1,GroupContrib,importance
697_268.0821_0.89,2.160878253530113,wild type control_2,0.038247130490835585
1381_452.156_2.29,2.1603539443557356,wild type control_2,0.03823785031904562
1798_220.0644_2.65,2.1571379039261664,wild type control_2,0.038180927020487455
1493_208.0949_2.38,2.147383924781846,wild type control_2,0.03800828346107902
2720_363.2175_3.5,2.146099259230292,Ctns gene knockout_2,-0.03798554512729872
1735_267.1213_2.51,2.1451735062749693,Ctns gene knockout_2,-0.03796915947760899
737_204.0871_0.96,2.1446673278360864,Ctns gene knockout_2,-0.037960200216358625
1948_177.1641_2.79,2.14298284103571,wild type control_2,0.03793038512318582
1376_162.0553_2.31,2.14274873479681,wild type control_2,0.03792624148767406
2085_379.2124_2.92,2.1426280426426647,Ctns gene knockout_2,-0.03792410525970227
547_297.1452_0.62,2.1425318380820566,wild type control_2,0.03792240245743778
422_128.1072_0.47,2.141867548273711,Ctns gene knockout_2,-0.03791064465528395
779_175.1267_1.05,2.141596655236586,wild type control_2,0.037905849900501706
1192_269.0994_2.05,2.139889117178923,wild type control_2,0.03787562680449765
549_244.1297_0.62,2.1386104079164165,Ctns gene knockout_2,-0.03785299389589069
2031_316.1398_2.87,2.1385424882595983,Ctns gene knockout_2,-0.0378517917309964
117_151.1444_0.22,2.138012896212826,Ctns gene knockout_2,-0.037842418053378644
1243_360.0698_2.1,2.1376821572560325,wild type control_2,0.03783656403730059
927_288.1084_1.49,2.137680928095851,Ctns gene knockout_2,-0.03783654228140121
1873_244.1549_2.73,2.1313240838384226,wild type control_2,0.03772402735769989
722_293.1349_0.93,2.1307788339082907,wild type control_2,0.03771437653855087
518_128.1072_0.53,2.1298901062609246,Ctns gene knockout_2,-0.037698646229708116
1788_366.1767_2.64,2.128373423471181,wild type control_2,0.03767180123532782
1512_203.1281_2.39,2.1268621356320767,Ctns gene knockout_2,-0.037645051730538726
1199_264.0542_2.05,2.1267295343137813,Ctns gene knockout_2,-0.037642704712646434
478_231.1345_0.53,2.1265352156308652,wild type control_2,0.03763926530924175
1529_167.107_2.41,2.1258947396015015,Ctns gene knockout_2,-0.037627929006406866
1809_208.0973_2.65,2.124104771291545,wild type control_2,0.03759624691075269
520_178.09_0.58,2.123550436918658,Ctns gene knockout_2,-0.03758643529870989
1713_316.2125_2.52,2.1235185966141397,wild type control_2,0.03758587173142896
2080_195.0996_2.93,2.1235015927494048,wild type control_2,0.03758557076628559
1262_194.0815_2.14,2.1219610416639485,Ctns gene knockout_2,-0.03755830330765066
1944_389.2178_2.79,2.1218633188357274,wild type control_2,0.03755657363234073
2243_197.1539_3.07,2.1198020479054853,wild type control_2,0.037520089532360947
789_311.1608_1.07,2.119770141111308,wild type control_2,0.0375195247882258
1511_149.0964_2.39,2.117314860674426,Ctns gene knockout_2,-0.03747606679557507
2739_406.2444_3.52,2.114441752879019,wild type control_2,0.037425213338844854
2025_321.0952_2.87,2.1136195925431425,Ctns gene knockout_2,-0.037410661258643535
1102_295.1118_1.92,2.1135104279529817,Ctns gene knockout_2,-0.03740872906634254
1992_238.1443_2.84,2.1123800452201715,wild type control_2,0.03738872150885255
1913_239.1394_2.75,2.1121751156649102,wild type control_2,0.037385094295043206
609_319.1373_0.72,2.111301084967684,wild type control_2,0.0373696241193981
465_172.0971_0.5,2.1112738304638294,wild type control_2,0.03736914171990906
477_182.0794_0.51,2.1102812967877247,Ctns gene knockout_2,-0.037351574064274355
1942_447.093_2.79,2.108859271542917,wild type control_2,0.03732640449027796
1241_338.0878_2.1,2.1082362183236714,wild type control_2,0.03731537656783934
948_173.1176_1.69,2.1052939400502155,wild type control_2,0.03726329880691905
1259_216.0637_2.14,2.104986289333931,Ctns gene knockout_2,-0.03725785344826817
1697_240.1599_2.53,2.103752671403469,wild type control_2,0.03723601864758696
2555_212.1285_3.34,2.1025115719146665,wild type control_2,0.03721405142475856
660_146.0603_0.81,2.0993078712178104,Ctns gene knockout_2,-0.03715734653710186
956_201.1601_1.58,2.0982525050297305,Ctns gene knockout_2,-0.037138666758060546
1136_350.0854_1.97,2.0961318589246045,wild type control_2,0.03710113172887733
1293_248.0957_2.19,2.0952805918844444,wild type control_2,0.037086064465594745
480_160.0972_0.51,2.0952365091098417,Ctns gene knockout_2,-0.037085284208942214
2163_281.1503_2.98,2.0947970166197893,wild type control_2,0.03707750527619146
1105_360.1297_1.92,2.0915131449693942,wild type control_2,0.03701938137803911
1077_327.1407_1.9,2.090906561107129,wild type control_2,0.03700864496005916
2806_361.2019_3.55,2.0887686939700445,Ctns gene knockout_2,-0.03697080512191438
646_304.1511_0.93,2.0880748075582,Ctns gene knockout_2,-0.03695852346555717
2618_174.0917_3.39,2.0852371803465646,wild type control_2,0.03690829800835223
613_382.0778_0.72,2.084526096653676,wild type control_2,0.036895711963420084
1201_134.0272_2.05,2.084300347526993,wild type control_2,0.03689171624719112
1502_186.1128_2.39,2.0836315762001565,wild type control_2,0.03687987912301985
1202_246.0234_2.05,2.082792461020216,wild type control_2,0.03686502694533164
1204_224.0415_2.05,2.082180262819628,wild type control_2,0.036854191154640566
