ID,comp1,GroupContrib,importance,featID
3216_346.1692_4.11,2.9060662034180096,wild type control_male_12,-0.05143681422845456,3216
3146_430.3175_4.02,2.7229194238311236,wild type control_male_12,-0.04819515136920161,3146
3490_345.2281_4.48,2.709819272613056,Ctns gene knockout_male_12,0.047963281206100765,3490
1834_460.3126_2.69,2.680648642326452,wild type control_male_12,-0.04744696664684736,1834
2441_493.9859_3.24,2.679293961457354,wild type control_male_12,-0.04742298905538001,2441
3854_526.2939_4.95,2.660984801186435,wild type control_male_12,-0.047098920431469585,3854
2108_421.1819_2.93,2.611592985507137,wild type control_male_12,-0.04622469477050082,2108
2969_311.1649_3.82,2.5965887063976267,wild type control_male_12,-0.0459591219090567,2969
2478_400.2709_3.34,2.5927225606585704,wild type control_male_12,-0.045890691871252984,2478
414_245.1003_0.47,2.5836058499288135,wild type control_male_12,-0.0457293278405129,414
66_362.9273_0.21,2.5689182302728457,wild type control_male_12,-0.04546935979064066,66
2678_397.2206_3.45,2.5636192529194637,wild type control_male_12,-0.04537556890817346,2678
78_226.9522_0.17,2.561885571493278,wild type control_male_12,-0.04534488307956254,78
1771_490.3233_2.61,2.561388062798206,wild type control_male_12,-0.045336077271114224,1771
533_209.1025_0.6,2.538765584533993,wild type control_male_12,-0.04493566374629673,533
2110_233.0767_2.95,2.5122575668431564,wild type control_male_12,-0.04446647691912657,2110
65_430.9147_0.21,2.4987197057567765,wild type control_male_12,-0.04422685937533774,65
1429_358.2445_2.33,2.4883604457761597,wild type control_male_12,-0.044043502461258995,1429
119_203.053_0.22,2.471844033457489,wild type control_male_12,-0.043751165132138004,119
4808_441.1998_6.41,2.4499600314277643,wild type control_male_12,-0.0433638224949833,4808
521_254.161_0.51,2.442429690112629,wild type control_male_12,-0.04323053689851344,521
4119_480.3098_5.24,2.4397620011577654,wild type control_male_12,-0.04318331931584818,4119
4814_329.2485_6.41,2.4383788604885956,wild type control_male_12,-0.04315883799137999,4814
2864_216.16_3.69,2.438019183923615,wild type control_male_12,-0.04315247178518914,2864
3782_478.2942_4.93,2.4303258679957764,wild type control_male_12,-0.04301630156934353,3782
1695_446.297_2.53,2.4271515075457755,wild type control_male_12,-0.0429601159984268,1695
2125_313.1629_2.89,2.422478930880745,Ctns gene knockout_female_12,0.042877412287959125,2125
166_136.0621_0.27,2.4179023282470937,wild type control_male_12,-0.042796407299432813,166
2408_444.2996_3.21,2.409270191210818,wild type control_male_12,-0.04264362013009467,2408
2640_517.3468_3.39,2.3970699216855262,wild type control_male_12,-0.04242767770030026,2640
2579_473.321_3.35,2.3952506202405734,wild type control_male_12,-0.04239547641378465,2579
2317_378.2604_3.12,2.3875922737779094,wild type control_male_12,-0.042259925150763225,2317
3977_454.2939_5.11,2.35940110296795,wild type control_male_12,-0.04176094683632255,3977
3980_315.1963_5.12,2.3584971351534825,wild type control_male_12,-0.04174494677944616,3980
1249_344.2288_2.12,2.353515922247315,wild type control_male_12,-0.04165678026672681,1249
1772_416.2864_2.61,2.3436971028870475,wild type control_male_12,-0.04148298904793667,1772
1983_488.2769_2.84,2.3192471080133643,Ctns gene knockout_female_12,0.041050228829767825,1983
1053_254.148_1.83,2.3179643283212115,wild type control_male_12,-0.04102752387533709,1053
2204_371.2524_3.0,2.298768525978012,wild type control_male_12,-0.040687761856862785,2204
2008_192.1136_2.86,2.293954140195672,wild type control_male_12,-0.04060254815222691,2008
4277_327.2328_5.46,2.2856233678977804,Ctns gene knockout_female_12,0.040455095080936865,4277
2379_422.2866_3.19,2.275407285412414,wild type control_male_12,-0.04027427238105332,2379
1083_216.1236_1.91,2.27325848912551,wild type control_male_12,-0.04023623909905366,1083
4807_373.2122_6.41,2.272443539116921,wild type control_male_12,-0.04022181464026192,4807
4055_375.2154_5.16,2.267842249935263,wild type control_male_12,-0.04014037270457237,4055
712_276.1453_0.91,2.265744270553011,wild type control_male_12,-0.040103238872035075,712
4904_405.1557_6.56,2.2652507602979886,wild type control_male_12,-0.04009450383520847,4904
4633_358.2963_5.96,2.2643727078417157,wild type control_male_12,-0.04007896247519986,4633
550_197.1288_0.65,2.26335217378978,wild type control_male_12,-0.04006089921828525,550
2209_393.2657_3.04,2.2447098305823956,wild type control_male_12,-0.03973093332032549,2209
1247_390.7534_2.13,2.2429818991367605,wild type control_male_12,-0.03970034926526711,1247
1178_463.1587_2.02,2.242435757384625,wild type control_male_12,-0.03969068266103973,1178
512_158.0274_0.57,2.2369612383371433,wild type control_male_12,-0.03959378472426724,512
1037_229.1052_1.78,2.226809123352425,wild type control_male_12,-0.03941409423687205,1037
2618_174.0917_3.39,2.226610719608545,wild type control_male_12,-0.0394105825286721,2618
3533_335.2204_4.57,2.2138590990487885,wild type control_male_12,-0.03918488129135256,3533
1960_548.3653_2.81,2.2003841447809207,wild type control_male_12,-0.03894637718618178,1960
644_220.1186_0.61,2.1969638008913956,Ctns gene knockout_female_12,0.038885837755581056,644
2247_415.2789_3.07,2.1916982984315614,wild type control_male_12,-0.038792639372306995,2247
4722_335.1525_6.23,2.186050644632521,wild type control_male_12,-0.0386926769836504,4722
1626_439.1009_2.58,2.183370580150296,wild type control_male_12,-0.038645240356525265,1626
693_147.0652_0.87,2.1774812232966743,wild type control_male_12,-0.03854099987017691,693
1323_328.1974_2.24,2.1745803926309946,wild type control_male_12,-0.03848965572396191,1323
3967_404.3018_5.08,2.170865510544565,wild type control_male_12,-0.03842390302378751,3967
2354_243.1021_3.16,2.17004494523238,wild type control_male_12,-0.038409379175199494,2354
1295_314.2181_2.19,2.162552132987226,wild type control_male_12,-0.0382767578360678,1295
1933_430.3021_2.78,2.156376454883308,wild type control_male_12,-0.038167449518524195,1933
2233_374.2545_3.06,2.1409472502008136,wild type control_male_12,-0.03789435555596655,2233
2911_306.1919_3.73,2.140892253050592,Ctns gene knockout_male_12,0.037893382116959654,2911
3322_457.3686_4.26,2.1406359394021726,wild type control_male_12,-0.03788884541456022,3322
1733_374.1609_2.49,2.1383775961785876,wild type control_male_12,-0.03784887317279951,1733
2132_292.1524_2.95,2.1337869045506297,wild type control_male_12,-0.037767618811777155,2132
4270_179.1435_5.44,2.133745132447706,wild type control_male_12,-0.037766879453570004,4270
4300_303.2327_5.48,2.1293808279175965,Ctns gene knockout_female_12,0.03768963210074383,4300
148_244.0799_0.24,2.1238381032486253,wild type control_male_12,-0.03759152693755725,148
1035_246.1707_1.8,2.1164393310421215,wild type control_male_12,-0.037460570089066676,1035
2043_423.2761_2.88,2.1126657858301185,wild type control_male_12,-0.037393779062825025,2043
4750_431.3531_6.28,2.1090535100066714,wild type control_male_12,-0.037329842473818875,4750
1133_431.2144_1.98,2.1072665452758805,wild type control_male_12,-0.03729821354093965,1133
5059_371.3167_6.86,2.1045750666480623,wild type control_male_12,-0.037250574885627497,5059
809_270.1554_1.14,2.0991295698917156,wild type control_male_12,-0.03715419063783974,809
927_288.1084_1.49,2.096873365855734,wild type control_male_12,-0.037114256259289186,927
2545_269.0814_3.33,2.096574465479311,wild type control_male_12,-0.03710896577997498,2545
2663_536.2668_3.36,2.09047551427229,wild type control_male_12,-0.037001015513785256,2663
3927_455.3531_5.05,2.0721173381378066,wild type control_male_12,-0.03667607931849416,3927
1273_318.1919_2.18,2.06970353278036,wild type control_male_12,-0.03663335542679183,1273
3052_1247.4681_3.9,2.0671740495308004,wild type control_male_12,-0.03658858405859363,3052
4220_524.3748_5.37,2.0644363767039464,Ctns gene knockout_female_12,0.03654012777482159,4220
2519_559.3427_3.32,2.063438953260507,wild type control_male_12,-0.03652247357124324,2519
1461_230.1758_2.42,2.0628775455693615,wild type control_male_12,-0.036512536762824385,1461
3892_404.2477_5.02,2.061159011706083,wild type control_male_12,-0.03648211904317065,3892
2169_444.2235_2.98,2.058983689661629,wild type control_male_12,-0.03644361626035171,2169
1779_202.123_2.62,2.052020003383685,wild type control_male_12,-0.03632036034931894,1779
1575_402.2708_2.44,2.0504649815085036,wild type control_male_12,-0.03629283676048231,1575
1343_330.1916_2.25,2.049169340515906,wild type control_male_12,-0.03626990416350134,1343
698_199.0401_0.89,2.0454664568607006,wild type control_male_12,-0.03620436383325753,698
2404_346.2597_3.2,2.0436013595001477,wild type control_male_12,-0.036171351967822424,2404
3058_1247.3255_3.89,2.035128307732185,wild type control_male_12,-0.03602138057721055,3058
1621_217.1918_2.47,2.032777852541666,wild type control_male_12,-0.03597977797130817,1621
1682_372.2602_2.52,2.0317509360574295,wild type control_male_12,-0.03596160174656639,1682
4504_485.2888_5.81,2.030430919968671,wild type control_male_12,-0.03593823771506009,4504
2477_578.4546_3.33,2.0280845411904806,wild type control_male_12,-0.03589670726087381,2477
4627_520.3856_6.03,2.022572121717717,wild type control_male_12,-0.0357991384938456,4627
1925_234.1495_2.77,2.01996213385919,wild type control_male_12,-0.03575294220951467,1925
808_253.1288_1.14,2.017111804761764,wild type control_male_12,-0.03570249193136829,808
5513_632.5629_8.28,2.0157150792740905,wild type control_male_12,-0.03567777015821903,5513
316_176.0921_0.36,2.015084629785983,wild type control_male_12,-0.03566661132324064,316
1893_386.2758_2.7,2.0141455739623213,wild type control_male_12,-0.03564999021533367,1893
3084_408.2838_3.93,2.0022401153032083,wild type control_male_12,-0.03543926588130677,3084
4905_337.1681_6.56,1.996599802356438,wild type control_male_12,-0.0353394334243269,4905
4699_772.5876_6.21,1.992003634523704,wild type control_male_12,-0.0352580821355307,4699
551_461.2114_0.6,1.9885479900317382,wild type control_male_12,-0.03519691789103972,551
4376_330.2439_5.59,1.9875718203270907,wild type control_male_12,-0.035179639874560145,4376
825_135.0555_1.17,1.9822477633431679,wild type control_male_12,-0.03508540508744427,825
