ID,comp1,GroupContrib,importance,featID
468_128.0708_0.51,1.733441090016389,wild type control_6,0.03068157470682287,468
2479_200.1285_3.12,1.7248571191954878,Ctns gene knockout_6,-0.030529640070255454,2479
1159_347.1345_2.01,1.724613601108024,wild type control_6,0.030525329846829916,1159
1289_338.1817_2.18,1.7206577961389469,wild type control_6,0.030455312857857297,1289
1601_251.1375_2.47,1.7184947869823637,Ctns gene knockout_6,-0.030417028010791266,1601
1374_340.1035_2.28,1.7184198374393713,wild type control_6,0.030415701418260485,1374
771_280.0492_1.07,1.7181656057109207,wild type control_6,0.03041120156544505,771
1493_208.0949_2.38,1.718016110872337,wild type control_6,0.03040855553548493,1493
1309_360.1297_2.19,1.7155312475355613,wild type control_6,0.03036457393118201,1309
1241_338.0878_2.1,1.7144279353490106,wild type control_6,0.030345045517166918,1241
664_332.1346_0.82,1.713704549620048,wild type control_6,0.030332241728556596,664
1845_452.156_2.69,1.7133137311082982,wild type control_6,0.030325324315882973,1845
1416_177.055_2.33,1.7126749582505436,wild type control_6,0.030314018158858792,1416
1864_450.1403_2.71,1.7114621894244737,wild type control_6,0.0302925523833251,1864
490_290.1606_0.54,1.710524204537787,Ctns gene knockout_6,-0.030275950230797107,490
1157_185.0812_2.0,1.709034389055089,wild type control_6,0.030249580782596618,1157
1903_198.1128_2.73,1.708822105888006,Ctns gene knockout_6,-0.030245823411268934,1903
1992_238.1443_2.84,1.7086901151963334,wild type control_6,0.03024348720135071,1992
2256_390.1226_3.08,1.7086128896263624,wild type control_6,0.030242120323579095,2256
2332_240.1599_3.15,1.7078634591262754,wild type control_6,0.03022885554751695,2332
2721_202.1441_3.5,1.7067904031672632,wild type control_6,0.030209862662924185,2721
1502_186.1128_2.39,1.7061842417672715,wild type control_6,0.03019913372244542,1502
2257_298.2019_3.08,1.704685418179954,wild type control_6,0.030172604832521505,2257
1470_182.1292_2.36,1.7039292904531746,wild type control_6,0.03015922151683187,1470
2927_348.2754_3.75,1.7017013657568218,wild type control_6,0.030119787677166932,2927
1287_406.208_2.26,1.7015336132709749,wild type control_6,0.030116818490353248,1287
2865_355.1736_3.69,1.7002168974352028,Ctns gene knockout_6,-0.03009351287269161,2865
959_168.1135_1.5,1.6994277757848362,wild type control_6,0.03007954557088485,959
460_303.0717_0.5,1.6984423496090808,wild type control_6,0.030062103716642655,460
2243_197.1539_3.07,1.6982280972638792,wild type control_6,0.030058311491240088,2243
1526_493.2821_2.41,1.696106056543336,wild type control_6,0.03002075177763156,1526
608_270.1818_0.69,1.6928338690806488,wild type control_6,0.029962834687359854,608
2068_263.0297_2.9,1.6927589518573325,wild type control_6,0.029961508666881142,2068
1371_467.1646_2.28,1.6927388109861967,wild type control_6,0.02996115217732636,1371
2979_388.1975_3.82,1.6922430628039247,Ctns gene knockout_6,-0.029952377529616814,2979
2066_261.0327_2.9,1.691602344273191,wild type control_6,0.02994103693455421,2066
1208_435.1294_2.04,1.6915368657657492,wild type control_6,0.029939877977535518,1208
2200_258.1705_3.0,1.691409129403691,wild type control_6,0.02993761706843521,2200
