ID,comp1,GroupContrib,importance,featID
680_270.1932_0.84,2.3947081731133526,wild type control_12,0.04238587520370939,680
1258_195.0849_2.14,2.392100624321705,Ctns gene knockout_12,-0.04233972209039427,1258
259_158.0928_0.31,2.387741377751454,Ctns gene knockout_12,-0.04226256426248714,259
1262_194.0815_2.14,2.386140635679936,Ctns gene knockout_12,-0.042234231434947464,1262
1594_497.1347_2.45,2.382471077849645,Ctns gene knockout_12,-0.042169280965410595,1594
538_242.1868_0.6,2.3817544435252316,wild type control_12,0.042156596675365435,538
495_219.1345_0.55,2.36599887703744,Ctns gene knockout_12,-0.04187772617147139,495
747_160.0972_1.01,2.361681943194082,wild type control_12,0.04180131727071195,747
1100_317.0937_1.91,2.360786145116266,Ctns gene knockout_12,-0.041785461816606806,1100
1308_200.1284_2.19,2.3572622952651083,wild type control_12,0.04172309035034434,1308
1875_281.173_2.71,2.3564807564581702,Ctns gene knockout_12,-0.04170925726341138,1875
1102_295.1118_1.92,2.3511546091095528,Ctns gene knockout_12,-0.04161498547724148,1102
356_232.1296_0.4,2.3477904363777644,wild type control_12,0.041555440265355424,356
487_146.0814_0.53,2.347538737425716,wild type control_12,0.041550985242196366,487
444_190.1077_0.48,2.3468948613709673,wild type control_12,0.04153958875956451,444
1259_216.0637_2.14,2.343912703787349,Ctns gene knockout_12,-0.041486805142505766,1259
880_160.0972_1.34,2.3432461501745103,wild type control_12,0.041475007271446755,880
1436_172.0972_2.28,2.3421591679787506,wild type control_12,0.04145576789513552,1436
1468_266.1028_2.38,2.338608119776227,Ctns gene knockout_12,-0.04139291502327229,1468
371_144.0658_0.42,2.337872375800166,wild type control_12,0.04137989249605944,371
484_168.0634_0.53,2.335949071166426,wild type control_12,0.04134585037305685,484
595_276.1084_0.7,2.335201391381085,wild type control_12,0.04133261658430981,595
795_182.0791_1.09,2.3297569267928293,wild type control_12,0.04123625060569923,795
1170_273.1239_2.0,2.3287987717996064,wild type control_12,0.04121929144615548,1170
442_212.0898_0.49,2.3257870972865375,wild type control_12,0.04116598538510873,442
