MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	sample_name	cell_count	collection_timestamp	description	ATTRIBUTE_diet_intervention	dna_extracted	elevation	empo_1	empo_2	empo_3	empo_4	env_biome	env_feature	env_material	env_package	geo_loc_name	ATTRIBUTE_host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	katharo_strains	katharoseq_aliquot_volume_ul	katharoseq_batch_information	katharoseq_plate_number	latitude	longitude	ATTRIBUTE_mouse_age	ATTRIBUTE_mouse_gender	mouse_genotype	mouse_id	ATTRIBUTE_mouse_treatment	number_on_plate	physical_specimen_location	physical_specimen_remaining	plate_well	qiita_study_id	sample_handling	ATTRIBUTE_sample_type	scientific_name	ATTRIBUTE_sex	sub_project	ATTRIBUTE_subproject	taxon_id	time_point	title	tube_id	volume	scrub_control	well_id	well_id_96	run	katharoseq_cell_count	katharoseq_strain	genotype	genotype_diet_gender	genotype_treatment	plate	sample_handling.1	submitted_mak_plate	subproject_verbose	genotype_gender_age	genotype_diet	ATTRIBUTE_host_age_numeric	sample_name_original	sample_name_qiita	SampleType_QCMXP	Order	Batch
MSV000093184	14472_3144_6mo_fecal.mzML	animal	biofluid	10095|Mus sp.	2024	feces	ethanol (95%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3144	not applicable	female	feces	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable	not applicable	14472.3144.6mo.fecal	MSV000093184_3144	not applicable	UBERON:0001988	not applicable	14472.3144.6mo.fecal	not applicable	2022	fecal sample 14472.3144.6mo.fecal	control diet	TRUE	193	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	6	months	uberon:feces	uberon:feces	uberon:feces	mouse	adult	Mus musculus	3144	10090	not specified	g	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	6	female	ctns knockout (cystinosis mouse model)	3144	control diet	not specified	UCSDMI	TRUE	not specified	14472	not specified	feces	mouse gut metagenome	female	not specified	not specified	410661	6 months	Mak_cystinosis	363167884		1	A24	A12	2			ctns knockout (cystinosis mouse model)								KO_control	6	14472.3144.6mo.fecal	14472.3144.6mo.fecal	Unknown	13	1
MSV000093184	14472_3144_6mo_urine.mzML	animal	biofluid	10095|Mus sp.	2024	urine, spot	ethanol (95%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3144	not applicable	female	urine	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable	not applicable	14472.3144.6mo.urine	MSV000093184_3144	not applicable	UBERON:0001088	not applicable	14472.3144.6mo.urine	not applicable	2022	urine sample 3144.6mo.urine	control diet	TRUE	193	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	urban biome	animal-associated habitat	urine	host-associated	USA:CA:San Diego	6	months	uberon:urine	uberon:urine	uberon:urine	mouse	adult	mus musculus	3144	10090	not specified	g	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	6	female	ctns knockout (cystinosis mouse model)	3144	control diet	not specified	UCSDMI	TRUE	not specified	14472	not specified	urine	mouse gut metagenome	female	not specified	not specified	410661	6 months	Mak_cystinosis	363167848		1	B12	A6	2			ctns knockout (cystinosis mouse model)								KO_control	6	14472.3144.6mo.urine	14472.3144.6mo.urine	unknown	723	1
MSV000093184	14472_3144_9mo_serum.mzML	animal	biofluid	10095|Mus sp.	2024	blood draw, venous	ethanol (95%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3144	not applicable	female	blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable	not applicable	14472.3144.9mo.serum	MSV000093184_3144	not applicable	UBERON:0001977	not applicable	14472.3144.9mo.serum	not applicable	2023	serum sample 3144.9mo.serum	control diet	FALSE	193	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	urban biome	animal-associated habitat	blood material	host-associated	USA:CA:San Diego	9	months	uberon:blood	uberon:serum	uberon:blood plasma	mouse	adult	mus musculus	3144	10090	not specified	not specified	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	9	female	Ctns gene knockout	3144	control diet	not specified	UCSDMI	TRUE	not specified	14472	not specified	serum	mouse metagenome	female	WT and and Ctns mice treated with Glycine vs control diet for 7 months compared 4 groups of mice, serum sample, WT+Glycine, WT+Vehicle, Ctns+Glycine, Ctns+Vehicle	glycine diet	1441287	9 months	Mak_cytinosis_glycine_diet	363130159	30 ul							Ctns gene knockout						WT and and Ctns mice treated with Glycine vs control diet for 7 months compared 4 groups of mice, serum sample, WT+Glycine, WT+Vehicle, Ctns+Glycine, Ctns+Vehicle		Ctns gene knockout	9	14472.3144.9mo.serum	14472.3144.9mo.serum	unknown	364	1
MSV000093184	14472_3145_6mo_urine.mzML	animal	biofluid	10095|Mus sp.	2024	urine, spot	ethanol (95%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3170	not applicable	female	urine	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable	not applicable	14472.3145.6mo.urine	MSV000093184_3170	not applicable	UBERON:0001088	not applicable	14472.3145.6mo.urine	not applicable	2022	urine sample 3145.6mo.urine	control diet	TRUE	193	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	urban biome	animal-associated habitat	urine	host-associated	USA:CA:San Diego	6	months	uberon:urine	uberon:urine	uberon:urine	mouse	adult	mus musculus	3170	10090	not specified	g	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	6	female	ctns knockout (cystinosis mouse model)	3170	control diet	not specified	UCSDMI	TRUE	not specified	14472	not specified	urine	mouse gut metagenome	female	not specified	not specified	410661	6 months	Mak_cystinosis	363167849		1	D12	B6	2			ctns knockout (cystinosis mouse model)								KO_control	6	14472.3145.6mo.urine	14472.3145.6mo.urine	unknown	712	1
MSV000093184	14472_3145_9mo_serum.mzML	animal	biofluid	10095|Mus sp.	2024	blood draw, venous	ethanol (95%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3145	not applicable	female	blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable	not applicable	14472.3145.9mo.serum	MSV000093184_3145	not applicable	UBERON:0001977	not applicable	14472.3145.9mo.serum	not applicable	2023	serum sample 3145.9mo.serum	control diet	FALSE	193	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	urban biome	animal-associated habitat	blood material	host-associated	USA:CA:San Diego	9	months	uberon:blood	uberon:serum	uberon:blood plasma	mouse	adult	Mus musculus	3145	10090	not specified	g	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	9	female	Ctns gene knockout	3145	control diet	56	UCSDMI	TRUE	H-7	14472	30 ul frozen at -80 degree C, no additive, for metabolomics	serum	mouse metagenome	female	WT and and Ctns mice treated with Glycine vs control diet for 7 months compared 4 groups of mice, serum sample, WT+Glycine, WT+Vehicle, Ctns+Glycine, Ctns+Vehicle	glycine diet	1441287	9 months	Mak_cytinosis_glycine_diet	363130160	30 ul																9	14472.3145.9mo.serum	14472.3145.9mo.serum	unknown	393	1
MSV000093184	14472_3146_6mo_fecal.mzML	animal	biofluid	10095|Mus sp.	2024	feces	ethanol (95%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3146	not applicable	female	feces	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable	not applicable	14472.3146.6mo.fecal	MSV000093184_3146	not applicable	UBERON:0001988	not applicable	14472.3146.6mo.fecal	not applicable	2022	fecal sample 14472.3146.6mo.fecal	control diet	TRUE	193	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	6	months	uberon:feces	uberon:feces	uberon:feces	mouse	adult	Mus musculus	3146	10090	not specified	g	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	6	female	ctns knockout (cystinosis mouse model)	3146	control diet	not specified	UCSDMI	TRUE	not specified	14472	not specified	feces	mouse gut metagenome	female	not specified	not specified	410661	6 months	Mak_cystinosis	363167885		1	C24	B12	2											KO_control	6	14472.3146.6mo.fecal	14472.3146.6mo.fecal	unknown	108	1
MSV000093184	14472_3146_6mo_urine.mzML	animal	biofluid	10095|Mus sp.	2024	urine, spot	ethanol (95%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3146	not applicable	female	urine	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable	not applicable	14472.3146.6mo.urine	MSV000093184_3146	not applicable	UBERON:0001088	not applicable	14472.3146.6mo.urine	not applicable	2022	urine sample 3146.6mo.urine	control diet	TRUE	193	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	urban biome	animal-associated habitat	urine	host-associated	USA:CA:San Diego	6	months	uberon:urine	uberon:urine	uberon:urine	mouse	adult	Mus musculus	3146	10090	not specified	g	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	6	female	ctns knockout (cystinosis mouse model)	3146	control diet	not specified	UCSDMI	TRUE	not specified	14472	not specified	urine	mouse metagenome	female	not specified	not specified	1441287	6 months	Mak_cystinosis	363167850		1	F12	C6	2											KO_control	6	14472.3146.6mo.urine	14472.3146.6mo.urine	unknown	729	1
MSV000093184	14472_3146_9mo_serum.mzML	animal	biofluid	10095|Mus sp.	2024	blood draw, venous	ethanol (95%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3146	not applicable	female	blood serum	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable	not applicable	14472.3146.9mo.serum	MSV000093184_3146	not applicable	UBERON:0001977	not applicable	14472.3146.9mo.serum	not applicable	2023	serum sample 3146.9mo.serum	control diet	FALSE	193	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	urban biome	animal-associated habitat	blood material	host-associated	USA:CA:San Diego	9	months	uberon:blood	uberon:serum	uberon:blood plasma	mouse	adult	Mus musculus	3146	10090	not specified	g	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	9	female	Ctns gene knockout	3146	control diet	57	UCSDMI	TRUE	A-8	14472	30 ul frozen at -80 degree C, no additive, for metabolomics	serum	mouse metagenome	female	WT and and Ctns mice treated with Glycine vs control diet for 7 months compared 4 groups of mice, serum sample, WT+Glycine, WT+Vehicle, Ctns+Glycine, Ctns+Vehicle	glycine diet	1441287	9 months	Mak_cytinosis_glycine_diet	363130161	30 ul																9	14472.3146.9mo.serum	14472.3146.9mo.serum	unknown	370	1
MSV000093184	14472_3150_6mo_fecal.mzML	animal	biofluid	10095|Mus sp.	2024	feces	ethanol (95%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3150	not applicable	female	feces	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable	not applicable	14472.3150.6mo.fecal	MSV000093184_3150	not applicable	UBERON:0001988	not applicable	14472.3150.6mo.fecal	not applicable	2022	fecal sample 14472.3150.6mo.fecal	control diet	TRUE	193	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	USA:CA:San Diego	6	months	uberon:feces	uberon:feces	uberon:feces	mouse	adult	Mus musculus	3150	10090	not specified	g	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	6	female	ctns knockout (cystinosis mouse model)	3150	control diet	not specified	UCSDMI	TRUE	not specified	14472	not specified	feces	mouse gut metagenome	female	not specified	not specified	410661	6 months	Mak_cystinosis	363167886		1	O22	H11	2											KO_control	6	14472.3150.6mo.fecal	14472.3150.6mo.fecal	unknown	45	1
MSV000093184	14472_3150_6mo_urine.mzML	animal	biofluid	10095|Mus sp.	2024	urine, spot	ethanol (95%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	3150	not applicable	female	urine	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable	not applicable	14472.3150.6mo.urine	MSV000093184_3150	not applicable	UBERON:0001088	not applicable	14472.3150.6mo.urine	not applicable	2022	urine sample 3150.6mo.urine	control diet	TRUE	193	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal secretion (non-saline)	urban biome	animal-associated habitat	urine	host-associated	USA:CA:San Diego	6	months	uberon:urine	uberon:urine	uberon:urine	mouse	adult	Mus musculus	3150	10090	not specified	g	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	6	female	ctns knockout (cystinosis mouse model)	3150	control diet	not specified	UCSDMI	TRUE	not specified	14472	not specified	urine	mouse metagenome	female	not specified	not specified	1441287	6 months	Mak_cystinosis	363167851		1	H12	D6	2											KO_control	6	14472.3150.6mo.urine	14472.3150.6mo.urine	unknown	738	1
